Node 	 Time 	 Analytic Concentration 	 Model Computed Concentration 	 Node Error 	 GRID RMS ERROR
 1543	       1340.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0146575002
 1543	       1350.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0146274046
 1543	       1360.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0145975122
 1543	       1370.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0145678201
 1543	       1380.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0145383286
 1543	       1390.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0145090405
 1543	       1400.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0144799604
 1543	       1410.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0144510942
 1543	       1420.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0144224483
 1543	       1430.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0143940296
 1543	       1440.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0143658446
 1543	       1450.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0143378992
 1543	       1460.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0143101988
 1543	       1470.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0142827474
 1543	       1480.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0142555482
 1543	       1490.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0142371185
 1543	       1500.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0142099285
 1543	       1510.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0141830102
 1543	       1520.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0141563626
 1543	       1530.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0141299830
 1543	       1540.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0141038678
 1543	       1550.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0140780122
 1543	       1560.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0140524106
 1543	       1570.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0140270565
 1543	       1580.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0140019433
 1543	       1590.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0139770636
 1543	       1600.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0139524101
 1543	       1610.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0139279753
 1543	       1620.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0139037519
 1543	       1630.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0138797326
 1543	       1640.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0138559107
 1543	       1650.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0138322796
 1543	       1660.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0138088332
 1543	       1670.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0137855661
 1543	       1680.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0137624731
 1543	       1690.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0137395498
 1543	       1700.0000000000 	          0.0000000000 	        -0.0000000000 	          0.0000000000 	         0.0137167921
