DATASET
OBJTYPE "mesh2d"
BEGVEC
ND 4
NC 2
NAME "Depth-Averaged Velocity"
TIMEUNITS SECONDS
 -2.41874782e-01  -2.42100684e-01   0.00000000e+00
TS 0  3.25100000e+00
 -3.71967318e-01  -1.30684694e-01   0.00000000e+00
 -4.74971701e-01  -2.94262402e-03   0.00000000e+00
 -6.04847345e-01  -8.70946063e-02   0.00000000e+00
 -2.67540072e-01  -3.04643203e-01   0.00000000e+00
TS 0  3.30100000e+00
 -3.67428456e-01  -1.18097494e-01   0.00000000e+00
 -5.31761560e-01   6.38733419e-04   0.00000000e+00
 -6.72956783e-01  -1.04185678e-01   0.00000000e+00
 -2.68550329e-01  -3.35644218e-01   0.00000000e+00
TS 0  3.35100000e+00
 -3.28816452e-01  -9.29013558e-02   0.00000000e+00
 -5.49779280e-01   2.11184691e-02   0.00000000e+00
 -7.04039602e-01  -1.00248038e-01   0.00000000e+00
 -2.41883485e-01  -3.32863582e-01   0.00000000e+00
TS 0  3.40100000e+00
 -2.62689851e-01  -5.92496730e-02   0.00000000e+00
 -5.26898534e-01   5.33120975e-02   0.00000000e+00
 -6.87760607e-01  -7.49933938e-02   0.00000000e+00
 -1.89245414e-01  -2.98854910e-01   0.00000000e+00
TS 0  3.45100000e+00
 -1.75544243e-01  -2.34485141e-02   0.00000000e+00
 -4.62736756e-01   8.78875130e-02   0.00000000e+00
 -6.18404586e-01  -3.37825347e-02   0.00000000e+00
 -1.16822958e-01  -2.40348822e-01   0.00000000e+00
TS 0  3.50100000e+00
 -7.38446845e-02   6.91717657e-03   0.00000000e+00
 -3.59015493e-01   1.13684997e-01   0.00000000e+00
 -4.99497282e-01   1.25439327e-02   0.00000000e+00
 -3.44998532e-02  -1.66755715e-01   0.00000000e+00
TS 0  3.55100000e+00
  3.55202104e-02   2.41264386e-02   0.00000000e+00
 -2.20648218e-01   1.20734610e-01   0.00000000e+00
 -3.45698742e-01   5.09519881e-02   0.00000000e+00
  4.56525897e-02  -8.79860077e-02   0.00000000e+00
TS 0  3.60100000e+00
  1.44943009e-01   2.20825640e-02   0.00000000e+00
 -5.74402363e-02   1.03430367e-01   0.00000000e+00
 -1.78997013e-01   7.16284898e-02   0.00000000e+00
  1.11879061e-01  -1.24465800e-02   0.00000000e+00
TS 0  3.65100000e+00
  2.46270052e-01  -1.52588789e-03   0.00000000e+00
  1.16533289e-01   6.34017805e-02   0.00000000e+00
 -2.07436888e-02   7.14789314e-02   0.00000000e+00
  1.55741295e-01   5.39693110e-02   0.00000000e+00
TS 0  3.70100000e+00
  3.31467857e-01  -4.37191188e-02   0.00000000e+00
  2.85031224e-01   8.81678761e-03   0.00000000e+00
  1.14517271e-01   5.44805821e-02   0.00000000e+00
  1.73884395e-01   1.08539213e-01   0.00000000e+00
TS 0  3.75100000e+00
  3.94196499e-01  -9.61205033e-02   0.00000000e+00
  4.34492030e-01  -4.77822990e-02   0.00000000e+00
  2.20297833e-01   2.81573838e-02   0.00000000e+00
  1.68249848e-01   1.51494698e-01   0.00000000e+00
TS 0  3.80100000e+00
  4.30937669e-01  -1.47268323e-01   0.00000000e+00
  5.52653991e-01  -9.47174482e-02   0.00000000e+00
  2.93329300e-01   4.63498300e-03   0.00000000e+00
  1.43475165e-01   1.86903328e-01   0.00000000e+00
TS 0  3.85100000e+00
  4.42127519e-01  -1.85644959e-01   0.00000000e+00
  6.34454126e-01  -1.23164614e-01   0.00000000e+00
  3.34595234e-01  -8.42002062e-03   0.00000000e+00
  1.07755297e-01   2.16652455e-01   0.00000000e+00
TS 0  3.90100000e+00
  4.31715885e-01  -2.04791136e-01   0.00000000e+00
  6.77641585e-01  -1.28596950e-01   0.00000000e+00
  3.46916120e-01  -7.16515515e-03   0.00000000e+00
  6.93992402e-02   2.41148828e-01   0.00000000e+00
TS 0  3.95100000e+00
  4.04998145e-01  -2.04257885e-01   0.00000000e+00
  6.81631762e-01  -1.11343376e-01   0.00000000e+00
  3.33338873e-01   8.09054395e-03   0.00000000e+00
  3.49564361e-02   2.58880841e-01   0.00000000e+00
TS 0  4.00100000e+00
  3.66190304e-01  -1.88202349e-01   0.00000000e+00
  6.47602474e-01  -7.63181801e-02   0.00000000e+00
  2.96430304e-01   3.30811906e-02   0.00000000e+00
  7.85053935e-03   2.66690083e-01   0.00000000e+00
TS 0  4.05100000e+00
  3.17163754e-01  -1.62958533e-01   0.00000000e+00
  5.79510678e-01  -3.17737772e-02   0.00000000e+00
  2.38429705e-01   6.06794123e-02   0.00000000e+00
 -1.18993920e-02   2.60470243e-01   0.00000000e+00
TS 0  4.10100000e+00
  2.57667466e-01  -1.35242181e-01   0.00000000e+00
  4.83931102e-01   1.26425918e-02   0.00000000e+00
  1.62133628e-01   8.27805037e-02   0.00000000e+00
 -2.71201523e-02   2.36328716e-01   0.00000000e+00
TS 0  4.15100000e+00
  1.86642192e-01  -1.11326671e-01   0.00000000e+00
  3.68223964e-01   4.78904586e-02   0.00000000e+00
  7.15588805e-02   9.27655825e-02   0.00000000e+00
 -4.24853215e-02   1.92266072e-01   0.00000000e+00
TS 0  4.20100000e+00
  1.04128839e-01  -9.62967820e-02   0.00000000e+00
  2.39879589e-01   6.72575877e-02   0.00000000e+00
 -2.90389540e-02   8.78794663e-02   0.00000000e+00
 -6.30766707e-02   1.29531576e-01   0.00000000e+00
TS 0  4.25100000e+00
  1.31671772e-02  -9.31169170e-02   0.00000000e+00
  1.05617739e-01   6.90336924e-02   0.00000000e+00
 -1.34567014e-01   6.75380206e-02   0.00000000e+00
 -9.16756501e-02   5.19528764e-02   0.00000000e+00
TS 0  4.30100000e+00
 -7.96381535e-02  -1.01034586e-01   0.00000000e+00
 -2.69741196e-02   5.63465162e-02   0.00000000e+00
 -2.39350957e-01   3.43787225e-02   0.00000000e+00
 -1.27934746e-01  -3.33348281e-02   0.00000000e+00
TS 0  4.35100000e+00
 -1.62948258e-01  -1.14859723e-01   0.00000000e+00
 -1.50295242e-01   3.63755763e-02   0.00000000e+00
 -3.38839281e-01  -5.58596505e-03   0.00000000e+00
 -1.67078812e-01  -1.17149547e-01   0.00000000e+00
TS 0  4.40100000e+00
 -2.25437091e-01  -1.26759120e-01   0.00000000e+00
 -2.56876155e-01   1.70287809e-02   0.00000000e+00
 -4.29582778e-01  -4.42547964e-02   0.00000000e+00
 -2.02097774e-01  -1.89848967e-01   0.00000000e+00
TS 0  4.45100000e+00
 -2.60096058e-01  -1.29772077e-01   0.00000000e+00
 -3.39970659e-01   5.86062756e-03   0.00000000e+00
 -5.06564907e-01  -7.42118888e-02   0.00000000e+00
 -2.25255180e-01  -2.43143822e-01   0.00000000e+00
TS 0  4.50100000e+00
 -2.65423432e-01  -1.20443503e-01   0.00000000e+00
 -3.94317713e-01   7.52520981e-03   0.00000000e+00
 -5.62967296e-01  -8.95497660e-02   0.00000000e+00
 -2.30214577e-01  -2.71389773e-01   0.00000000e+00
TS 0  4.55100000e+00
 -2.43718085e-01  -9.92913509e-02   0.00000000e+00
 -4.16318444e-01   2.25209039e-02   0.00000000e+00
 -5.90973949e-01  -8.68385102e-02   0.00000000e+00
 -2.13624362e-01  -2.72569317e-01   0.00000000e+00
TS 0  4.60100000e+00
 -1.98994947e-01  -6.99611973e-02   0.00000000e+00
 -4.04116872e-01   4.70648390e-02   0.00000000e+00
 -5.83429584e-01  -6.63287961e-02   0.00000000e+00
 -1.75938288e-01  -2.48606605e-01   0.00000000e+00
TS 0  4.65100000e+00
 -1.35832825e-01  -3.81508132e-02   0.00000000e+00
 -3.57667921e-01   7.41292624e-02   0.00000000e+00
 -5.36371272e-01  -3.28169927e-02   0.00000000e+00
 -1.21433055e-01  -2.04867114e-01   0.00000000e+00
TS 0  4.70100000e+00
 -5.91176242e-02  -1.06009614e-02   0.00000000e+00
 -2.78877098e-01   9.52497274e-02   0.00000000e+00
 -4.51757033e-01   4.89758948e-03   0.00000000e+00
 -5.75154831e-02  -1.48864100e-01   0.00000000e+00
TS 0  4.75100000e+00
  2.58014627e-02   6.02717250e-03   0.00000000e+00
 -1.72084854e-01   1.02764550e-01   0.00000000e+00
 -3.38620835e-01   3.65976398e-02   0.00000000e+00
  6.59314888e-03  -8.84250951e-02   0.00000000e+00
TS 0  4.80100000e+00
  1.12945096e-01   6.59663991e-03   0.00000000e+00
 -4.49825740e-02   9.20194216e-02   0.00000000e+00
