DATASET
OBJTYPE "mesh3d"
BEGVEC
ND 8
NC 6
NAME "Velocity"
TIMEUNITS SECONDS
-8.86760492e-01 -4.27264625e-02 -6.14399461e-01
-8.86760492e-01 -4.27264625e-02  0.00000000e+00
TS 0  9.00000000e-01
-9.61192969e-01  2.45953105e-02 -4.52645462e-01
-9.61192969e-01  2.45953105e-02  0.00000000e+00
-2.14624919e-01 -8.60014753e-01 -1.03659057e+00
-6.30396869e-01 -1.08599735e-01  2.10144839e-10
-8.03823405e-01  3.79223965e-01 -2.06656073e+00
 2.60531191e-01  2.41382379e-01 -1.07761930e-10
-1.00972697e+00 -5.10806658e-02 -7.77224562e-01
-1.00972697e+00 -5.10806658e-02  0.00000000e+00
TS 0  9.50000000e-01
-9.73451559e-01  5.43631115e-02 -4.96311916e-01
-9.73451559e-01  5.43631115e-02  0.00000000e+00
-2.55497211e-01 -8.79194560e-01 -1.02058898e+00
-6.36600479e-01 -1.29019991e-01 -1.32558109e-11
-7.70703467e-01  3.66796165e-01 -1.86908771e+00
 2.97737774e-01  2.07188583e-01  2.45515128e-11
-1.06423555e+00 -5.35933781e-02 -7.17667426e-01
-1.06423555e+00 -5.35933781e-02  0.00000000e+00
TS 0  1.00000000e+00
-9.33241616e-01  9.36381937e-02 -4.80738939e-01
-9.33241616e-01  9.36381937e-02  0.00000000e+00
-2.67328117e-01 -8.70446620e-01 -1.07691139e+00
-6.40651811e-01 -1.60835284e-01  1.42103917e-07
-7.61103854e-01  3.51194799e-01 -1.60357411e+00
 3.13271750e-01  1.95701305e-01 -4.44017316e-08
-1.02412794e+00 -4.84338690e-02 -4.44984458e-01
-1.02412794e+00 -4.84338690e-02  0.00000000e+00
TS 0  1.05100000e+00
-8.31581073e-01  1.31512820e-01 -3.73134898e-01
-8.31581073e-01  1.31512820e-01  0.00000000e+00
-2.43984934e-01 -8.31145482e-01 -1.20451896e+00
-6.57219249e-01 -2.00769616e-01  1.44542605e-10
-7.90207538e-01  3.33657126e-01 -1.26373713e+00
 3.11165043e-01  2.06364127e-01 -1.06974334e-10
-8.69769164e-01 -3.40577242e-02  8.55219614e-03
-8.69769164e-01 -3.40577242e-02  0.00000000e+00
TS 0  1.10100000e+00
-6.65116670e-01  1.50372366e-01 -1.51375589e-01
-6.65116670e-01  1.50372366e-01  0.00000000e+00
