Node 	 Time 	 Analytic Concentration 	 Model Computed Concentration 	 Node Error 	 GRID RMS ERROR
 1543	       2000.0000000000 	          0.0100000001 	         0.0000000000 	          0.0100000001 	         0.0000924101
 1543	       2100.0000000000 	          0.0100000000 	         0.0000000000 	          0.0100000000 	         0.0000909565
 1543	       2200.0000000000 	          0.0100000000 	         0.0000000000 	          0.0100000000 	         0.0000895970
 1543	       2300.0000000000 	          0.0100000000 	         0.0000000000 	          0.0100000000 	         0.0000883217
 1543	       2400.0000000000 	          0.0099999953 	         0.0000000000 	          0.0099999953 	         0.0000871220
 1543	       2500.0000000000 	          0.0099999972 	         0.0000000000 	          0.0099999972 	         0.0000859906
 1543	       2600.0000000000 	          0.0099999983 	         0.0000000000 	          0.0099999983 	         0.0000849211
 1543	       2700.0000000000 	          0.0099999990 	         0.0000000000 	          0.0099999990 	         0.0000839078
 1543	       2800.0000000000 	          0.0099999994 	         0.0000000000 	          0.0099999994 	         0.0000829459
 1543	       2900.0000000000 	          0.0099999996 	         0.0000000000 	          0.0099999996 	         0.0000820311
 1543	       3000.0000000000 	          0.0099999998 	         0.0000000000 	          0.0099999998 	         0.0000811594
 1543	       3100.0000000000 	          0.0099999999 	         0.0000000000 	          0.0099999999 	         0.0000803276
 1543	       3200.0000000000 	          0.0099999999 	         0.0000000000 	          0.0099999999 	         0.0000795325
 1543	       3300.0000000000 	          0.0100000000 	         0.0000000000 	          0.0100000000 	         0.0000787715
 1543	       3400.0000000000 	          0.0100000000 	         0.0000000000 	          0.0100000000 	         0.0000780420
 1543	       3500.0000000000 	          0.0100000000 	         0.0000000000 	          0.0100000000 	         0.0000773419
 1543	       3600.0000000000 	          0.0100000000 	         0.0000000000 	          0.0100000000 	         0.0000766691
 1543	       3700.0000000000 	          0.0100000000 	         0.0000000000 	          0.0100000000 	         0.0000760220
 1543	       3800.0000000000 	          0.0100000000 	         0.0000000000 	          0.0100000000 	         0.0000753988
 1543	       3900.0000000000 	          0.0100000000 	         0.0000000000 	          0.0100000000 	         0.0000747979
 1543	       4000.0000000000 	          0.0100000000 	         0.0000000000 	          0.0100000000 	         0.0000742182
 1543	       4100.0000000000 	          0.0100000000 	         0.0000000000 	          0.0100000000 	         0.0000736582
 1543	       4200.0000000000 	          0.0100000000 	        -0.0000000000 	          0.0100000000 	         0.0000731169
 1543	       4300.0000000000 	          0.0100000000 	        -0.0000000000 	          0.0100000000 	         0.0000725932
 1543	       4400.0000000000 	          0.0100000000 	        -0.0000000000 	          0.0100000000 	         0.0000720861
 1543	       4500.0000000000 	          0.0100000000 	        -0.0000000001 	          0.0100000001 	         0.0000715947
